Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0027_ANI-1;91.4;0.2;1.99;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.37;S19S27;S19S_0027_ICR-1;1.16;S19S_0027_ANI-1
WHONDRS_S19S;S19S_0027_ANI-2;NA;NA;1.93;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.05;0.34;S19S27;S19S_0027_ICR-2;1.39;S19S_0027_ANI-2
WHONDRS_S19S;S19S_0027_ANI-3;NA;NA;1.99;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.18;S19S27;S19S_0027_ICR-3;1.2;S19S_0027_ANI-3
WHONDRS_S19S;S19S_0028_ANI-1;490;10.98;14.1;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.57;0.78;S19S28;S19S_0028_ICR-1;1.31;S19S_0028_ANI-1
WHONDRS_S19S;S19S_0028_ANI-2;NA;10.87;13.85;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.6;0.24;S19S28;S19S_0028_ICR-2;1.96;S19S_0028_ANI-2
WHONDRS_S19S;S19S_0028_ANI-3;NA;10.79;13.64;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.57;0.24;S19S28;S19S_0028_ICR-3;1.94;S19S_0028_ANI-3
WHONDRS_S19S;S19S_0029_ANI-1;570;10.54;77.74;0.23;Below_Range_Less_Than_0.04;0.1;0.41;S19S29;S19S_0029_ICR-1;0.49;S19S_0029_ANI-1
WHONDRS_S19S;S19S_0029_ANI-2;NA;10.25;75.5;0.24;Below_Range_Less_Than_0.04;0.12;0.41;S19S29;S19S_0029_ICR-2;0.73;S19S_0029_ANI-2
WHONDRS_S19S;S19S_0029_ANI-3;NA;10.08;74.24;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.11;0.38;S19S29;S19S_0029_ICR-3;0.81;S19S_0029_ANI-3
WHONDRS_S19S;S19S_0030_ANI-1;38.3;0.67;0.3;0.24;Below_Range_Less_Than_0.04;0.03;Injections_Too_Variable;S19S30;S19S_0030_ICR-1;NA;S19S_0030_ANI-1
