num,Sample_ID,00681_NPOC_mg_per_L_as_C
442,S19S_0083_SED_INC_ICR-U,12.25
443,S19S_0041_SED_INC_ICR-U,9.71
444,S19S_0021_SED_INC_ICR-U,11.74
445,S19S_0072_SED_INC_ICR-U,9.88
446,S19S_0015_SED_INC_ICR-U,10.59
447,S19S_0077_SED_INC_ICR-U,8.93
448,S19S_0025_SED_INC_ICR-U,10.08
449,S19S_0063_SED_INC_ICR-U,5.55
450,S19S_0022_SED_INC_ICR-U,6.06
451,S19S_0099_SED_INC_ICR-U,7.01
452,S19S_0090_SED_INC_ICR-U,10.43
453,S19S_0035_SED_INC_ICR-U,9.73
454,S19S_0024_SED_INC_ICR-U,17.09
455,S19S_0017_SED_INC_ICR-U,6.19
456,S19S_0026_SED_INC_ICR-U,11.42
457,S19S_0044_SED_INC_ICR-U,20.11
458,S19S_0047_SED_INC_ICR-U,14.89
459,S19S_0098_SED_INC_ICR-U,24.45
460,S19S_0014_SED_INC_ICR-U,11.25
461,S19S_0007_SED_INC_ICR-U,16.49
462,S19S_0061_SED_INC_ICR-U,26.48
463,S19S_0009_SED_INC_ICR-U,12.14
464,S19S_0053_SED_INC_ICR-U,9.1
465,S19S_0087_SED_INC_ICR-U,9.68
466,S19S_0040_SED_INC_ICR-U,15.74
467,S19S_0062_SED_INC_ICR-U,7
468,S19S_0078_SED_INC_ICR-U,9.51
469,S19S_0060_SED_INC_ICR-U,8
470,S19S_0031_SED_INC_ICR-U,6.91
471,S19S_0085_SED_INC_ICR-U,12.57
472,S19S_0074_SED_INC_ICR-U,9.67
473,S19S_0069_SED_INC_ICR-U,8.75
474,S19S_0050_SED_INC_ICR-U,13.15
475,S19S_0064_SED_INC_ICR-U,9.33
476,S19S_0043_SED_INC_ICR-U,10.57
477,S19S_0032_SED_INC_ICR-U,22.31
478,S19S_0082_SED_INC_ICR-U,14.44
479,S19S_0097_SED_INC_ICR-U,27.38
480,S19S_0036_SED_INC_ICR-U,13.75
481,S19S_0020_SED_INC_ICR-U,6.56
482,S19S_0011_SED_INC_ICR-U,14.3
483,S19S_0081_SED_INC_ICR-U,20.27
484,S19S_0076_SED_INC_ICR-U,50.08
485,S19S_0100_SED_INC_ICR-U,5.2
486,S19S_0027_SED_INC_ICR-U,18.62
487,S19S_0013_SED_INC_ICR-U,11.67
